benefit_name,service_type,cost_sharing,prior_auth,limitations,important_notes,network_info,bid_id
Ambulance,Ground Ambulance,No,Yes,None specified,None specified,None specified,H0523-022-000
Chiropractic,N/A,No,Yes,None specified,None specified,None specified,H0523-022-000
Annual Routine Physical,N/A,No,Yes,None specified,None specified,None specified,H0523-022-000
Emergency Care,N/A,No,Yes,None specified,None specified,None specified,H0523-022-000
Cardiac Rehab,N/A,No,Yes,None specified,None specified,None specified,H0523-022-000
Hearing Services,N/A,No,Yes,None specified,None specified,None specified,H0523-022-000
Ambulance,Ground Ambulance,None,Yes,Not applicable,,,H0523-022-000
Chiropractic,Chiropractic Care,None,Yes,Not applicable,,,H0523-022-000
Annual Routine Physical,Annual Physical Examination,None,Yes,Not applicable,,,H0523-022-000
Emergency Care,Emergency Care Services,None,Yes,Not applicable,,,H0523-022-000
Cardiac Rehab,Cardiac Rehabilitation Program,None,Yes,Not applicable,,,H0523-022-000
Hearing Services,Hearing Aid Services,None,Yes,Not applicable,,,H0523-022-000
Ambulance,Ground Ambulance,Not applicable,Yes,None specified,No prior authorization required. Cost sharing is not applicable.,Available for all locations.,H0523-022-000
Chiropractic,Manual manipulation of the spine to correct a subluxation,Not applicable,Yes,None specified,No prior authorization required. Cost sharing is not applicable.,Available for all locations.,H0523-022-000
Annual Routine Physical,Not applicable,Not applicable,Yes,None specified,No prior authorization required. Cost sharing is not applicable.,Available for all locations.,H0523-022-000
Emergency Care,Not applicable,Not applicable,Yes,None specified,No prior authorization required. Cost sharing is not applicable.,Available for all locations.,H0523-022-000
Cardiac Rehab,Not applicable,Not applicable,Yes,None specified,No prior authorization required. Cost sharing is not applicable.,Available for all locations.,H0523-022-000
Hearing Services,Not applicable,Not applicable,Yes,None specified,No prior authorization required. Cost sharing is not applicable.,Available for all locations.,H0523-022-000
Ambulance,Ground Ambulance,No,Yes,None,None,None,H0523-022-000
Chiropractic,None,No,Yes,None,None,None,H0523-022-000
Annual Routine Physical,None,No,Yes,None,None,None,H0523-022-000
Emergency Care,None,No,Yes,None,None,None,H0523-022-000
Cardiac Rehab,None,No,Yes,None,None,None,H0523-022-000
Hearing Services,None,No,Yes,None,None,None,H0523-022-000
Ambulance,Ground Ambulance,No,Yes,None specified,None specified,None specified,H0523-065-000
Chiropractic,Chiropractic Service,No,Yes,None specified,None specified,None specified,H0523-065-000
Annual Routine Physical,Annual Routine Physical,No,Yes,None specified,None specified,None specified,H0523-065-000
Emergency Care,Emergency Care,No,Yes,None specified,None specified,None specified,H0523-065-000
Cardiac Rehab,Cardiac Rehabilitation,No,Yes,None specified,None specified,None specified,H0523-065-000
Hearing Services,Hearing Service,No,Yes,None specified,None specified,None specified,H0523-065-000
Ambulance,Ground Ambulance,$250 copay for each Medicare-covered one-way trip via ground ambulance.,Yes,"If the covered ambulance services aren't for an emergency, Ground or air ambulance cost sharing is situation, it should be documented that the member’s condition not waived if you are admitted to the hospital.",This benefit is continued on the next page.,,H0523-065-000
Ambulance,Air Ambulance,$250 copay for each Medicare-covered one-way trip via air ambulance.,Yes,"If the covered ambulance services aren't for an emergency, Ground or air ambulance cost sharing is situation, it should be documented that the member’s condition not waived if you are admitted to the hospital.",This benefit is continued on the next page.,,H0523-065-000
Ambulance,Ground Ambulance,0 copay,Yes,None,,,H0523-065-000
Chiropractic,Manual manipulation of the spine to correct subluxation,0 copay,Yes,None,,,H0523-065-000
Annual Routine Physical,Annual routine physical,$0 copay for an annual routine physical,Yes,Once each calendar year,,,H0523-065-000
Emergency Care,None,None,No,None,,,H0523-065-000
Cardiac Rehab,Comprehensive programs of cardiac rehabilitation services that cardiac rehabilitation service.,$0 copay for each Medicare‑covered intensive cardiac rehabilitation service.,Yes,None,,,H0523-065-000
Hearing Services,None,None,No,None,,,H0523-065-000
Ambulance,Ground Ambulance,No,Yes,None specified,None specified,Aetna Dental PPO Network,H0523-065-000
Chiropractic,N/A,No,Yes,None specified,None specified,Aetna Dental PPO Network,H0523-065-000
Annual Routine Physical,N/A,No,Yes,None specified,None specified,Aetna Dental PPO Network,H0523-065-000
Emergency Care,N/A,No,Yes,None specified,None specified,Aetna Dental PPO Network,H0523-065-000
Cardiac Rehab,N/A,No,Yes,None specified,None specified,Aetna Dental PPO Network,H0523-065-000
Hearing Services,N/A,No,Yes,None specified,None specified,Aetna Dental PPO Network,H0523-065-000
Ambulance,Ground Ambulance,0%,Yes,waived if admitted to the hospital within 24 hours,,,H0523-065-000
Chiropractic,N/A,0%,Yes,,,,H0523-065-000
Annual Routine Physical,Physical Exam,0%,Yes,,,,H0523-065-000
Emergency Care,Emergency Services,$150 copay for emergency care,Yes,waived if you are admitted to the hospital within 24 hours,,,H0523-065-000
Cardiac Rehab,Physical Therapy,0%,Yes,,,,H0523-065-000
Hearing Services,Audiology,0%,Yes,,,,H0523-065-000
Ambulance,Ground Ambulance,$0 copay for each Medicare-covered,Yes,None specified,,,H0523-065-000
Chiropractic,N/A,$0 copay for each Medicare-covered,Yes,None specified,,,H0523-065-000
Annual Routine Physical,N/A,$0 copay for each Medicare-covered,Yes,None specified,,,H0523-065-000
Emergency Care,N/A,$0 copay for each Medicare-covered,Yes,None specified,,,H0523-065-000
Cardiac Rehab,N/A,$0 copay for each Medicare-covered,Yes,None specified,,,H0523-065-000
Hearing Services,N/A,$0 copay for each Medicare-covered,Yes,None specified,,,H0523-065-000
Ambulance,Ground Ambulance,No,Yes,None specified,None specified,None specified,H0523-065-000
Chiropractic,Chiropractic Care,No,Yes,None specified,None specified,None specified,H0523-065-000
Annual Routine Physical,Annual Physical,No,Yes,None specified,None specified,None specified,H0523-065-000
Emergency Care,Emergency Care,No,Yes,None specified,None specified,None specified,H0523-065-000
Cardiac Rehab,Cardiac Rehabilitation,No,Yes,None specified,None specified,None specified,H0523-065-000
Hearing Services,Hearing Services,No,Yes,None specified,None specified,None specified,H0523-065-000
Ambulance,Ground Ambulance,No,Yes,None specified,None specified,None specified,H0523-065-000
Chiropractic,Chiropractic Care,No,Yes,None specified,None specified,None specified,H0523-065-000
Annual Routine Physical,Physical Examination,No,Yes,None specified,None specified,None specified,H0523-065-000
Emergency Care,Emergency Services,No,Yes,None specified,None specified,None specified,H0523-065-000
Cardiac Rehab,Cardiovascular Rehabilitation,No,Yes,None specified,None specified,None specified,H0523-065-000
Hearing Services,Auditory Health Care,No,Yes,None specified,None specified,None specified,H0523-065-000
Ambulance,Ground Ambulance,0%,Yes,None specified,None specified,None specified,H0523-065-000
Chiropractic,Individual Chiropractor,0%,Yes,None specified,None specified,None specified,H0523-065-000
Annual Routine Physical,Annual Physical,0%,Yes,None specified,None specified,None specified,H0523-065-000
Emergency Care,Emergency Care,0%,Yes,None specified,None specified,None specified,H0523-065-000
Cardiac Rehab,Cardiac Rehabilitation,0%,Yes,None specified,None specified,None specified,H0523-065-000
Hearing Services,Hearing Services,0%,Yes,None specified,None specified,None specified,H0523-065-000
Ambulance,Ground Ambulance,0,Yes,,,,H0523-065-000
Chiropractic,N/A,0,Yes,,,,H0523-065-000
Annual Routine Physical,Physical Exam,0,Yes,,,,H0523-065-000
Emergency Care,N/A,0,Yes,,,,H0523-065-000
Cardiac Rehab,Physical Therapy,0,Yes,,,,H0523-065-000
Hearing Services,N/A,0,Yes,,,,H0523-065-000
Ambulance,Ground Ambulance,No,Yes,None specified,None specified,None specified,H0523-065-000
Chiropractic,Chiropractic Care,No,Yes,None specified,None specified,None specified,H0523-065-000
Annual Routine Physical,Physical Examination,No,Yes,None specified,None specified,None specified,H0523-065-000
Emergency Care,Emergency Services,No,Yes,None specified,None specified,None specified,H0523-065-000
Cardiac Rehab,Cardiovascular Rehabilitation,No,Yes,None specified,None specified,None specified,H0523-065-000
Hearing Services,Hearing Tests,No,Yes,None specified,None specified,None specified,H0523-065-000
Ambulance,Ground Ambulance,Not applicable,No,None specified,None specified,None specified,H0523-065-000
Chiropractic,N/A,Not applicable,No,None specified,None specified,None specified,H0523-065-000
Annual Routine Physical,N/A,Not applicable,No,None specified,None specified,None specified,H0523-065-000
Emergency Care,N/A,Not applicable,No,None specified,None specified,None specified,H0523-065-000
Cardiac Rehab,N/A,Not applicable,No,None specified,None specified,None specified,H0523-065-000
Hearing Services,N/A,Not applicable,No,None specified,None specified,None specified,H0523-065-000
Ambulance,Ground Ambulance,No,Yes,None,Business rules/details,Provider network requirements,H0523-065-000
Chiropractic,N/A,No,Yes,None,Business rules/details,Provider network requirements,H0523-065-000
Annual Routine Physical,N/A,No,Yes,None,Business rules/details,Provider network requirements,H0523-065-000
Emergency Care,N/A,No,Yes,None,Business rules/details,Provider network requirements,H0523-065-000
Cardiac Rehab,N/A,No,Yes,None,Business rules/details,Provider network requirements,H0523-065-000
Hearing Services,N/A,No,Yes,None,Business rules/details,Provider network requirements,H0523-065-000
Ambulance,Ground Ambulance,No,Yes,Not applicable,,,H0523-065-000
Chiropractic,N/A,No,Yes,Not applicable,,,H0523-065-000
Annual Routine Physical,N/A,No,Yes,Not applicable,,,H0523-065-000
Emergency Care,N/A,No,Yes,Not applicable,,,H0523-065-000
Cardiac Rehab,N/A,No,Yes,Not applicable,,,H0523-065-000
Hearing Services,N/A,No,Yes,Not applicable,,,H0523-065-000
Ambulance,Ground Ambulance,No,Yes,Once per year,,,H0523-065-000
Chiropractic,N/A,No,Yes,Once per year,,,H0523-065-000
Annual Routine Physical,Physical Exam,No,Yes,Once per year,,,H0523-065-000
Emergency Care,N/A,No,Yes,Once per year,,,H0523-065-000
Cardiac Rehab,Physical Therapy,No,Yes,Once per year,,,H0523-065-000
Hearing Services,N/A,No,Yes,Once per year,,,H0523-065-000
Ambulance,Ground Ambulance,No,Yes,None,None,None,H0523-065-000
Chiropractic,Routine Chiropractic Care,No,Yes,None,None,None,H0523-065-000
Annual Routine Physical,Annual Physical,No,Yes,None,None,None,H0523-065-000
Emergency Care,Emergency Care,No,Yes,None,None,None,H0523-065-000
Cardiac Rehab,Cardiac Rehabilitation,No,Yes,None,None,None,H0523-065-000
Hearing Services,Hearing Services,No,Yes,None,None,None,H0523-065-000
Ambulance,Ground Ambulance,No,Yes,None,None,None,H0523-065-000
Chiropractic,None,No,Yes,None,None,None,H0523-065-000
Annual Routine Physical,None,No,Yes,None,None,None,H0523-065-000
Emergency Care,None,No,Yes,None,None,None,H0523-065-000
Cardiac Rehab,None,No,Yes,None,None,None,H0523-065-000
Hearing Services,"Hearing aids, hearing aid fitting and evaluations, routine hearing exams",No,Yes,None,None,None,H0523-065-000
Ambulance,Ground Ambulance,No,Yes,None specified,None specified,None specified,H0523-070-000
Chiropractic,Chiropractic Service,No,Yes,None specified,None specified,None specified,H0523-070-000
Annual Routine Physical,Annual Routine Physical,No,Yes,None specified,None specified,None specified,H0523-070-000
Emergency Care,Emergency Care,No,Yes,None specified,None specified,None specified,H0523-070-000
Cardiac Rehab,Cardiac Rehabilitation,No,Yes,None specified,None specified,None specified,H0523-070-000
Hearing Services,Hearing Service,No,Yes,None specified,None specified,None specified,H0523-070-000
Ambulance,Ground Ambulance,$295,Yes,None specified,"Prior authorization is required for all non-emergency transportation, including fixed wing, rotary wing, and ground ambulance services.",None specified,H0523-070-000
Ambulance,Air Ambulance,$295,Yes,None specified,"Prior authorization is required for all non-emergency transportation, including fixed wing, rotary wing, and ground ambulance services.",None specified,H0523-070-000
Ambulance,Ground Ambulance,,Yes,,,,H0523-070-000
Chiropractic,Manual manipulation of the spine to correct subluxation,,Yes,,,,H0523-070-000
Annual Routine Physical,Non-Medicare covered,,Yes,once per calendar year,,,H0523-070-000
Emergency Care,Non-Medicare covered,,Yes,,,,H0523-070-000
Cardiac Rehab,Comprehensive programs of cardiac rehabilitation services that cardiac rehabilitation service.,,Yes,,,,H0523-070-000
Hearing Services,Non-Medicare covered,,Yes,,,,H0523-070-000
Ambulance,Ground Ambulance,No,Yes,Once every 3 years,,,H0523-070-000
Chiropractic,N/A,No,Yes,N/A,,,H0523-070-000
Annual Routine Physical,Physical Exam,0%,Yes,Once every year,,,H0523-070-000
Emergency Care,N/A,No,Yes,N/A,,,H0523-070-000
Cardiac Rehab,Cardiovascular Rehabilitation,0%,Yes,N/A,,,H0523-070-000
Hearing Services,Hearing Aid,No,Yes,N/A,,,H0523-070-000
Ambulance,Ground Ambulance,$150,Yes,Sharing is waived if you are admitted to the hospital within 24 hours.,,,H0523-070-000
Ambulance,Air Ambulance,$150,Yes,Sharing is waived if you are admitted to the hospital within 24 hours.,,,H0523-070-000
Chiropractic,N/A,$0,Yes,,,,H0523-070-000
Annual Routine Physical,Physical Exam,$0,Yes,,,,H0523-070-000
Emergency Care,Medical Emergency,$150,Yes,Sharing is waived if you are admitted to the hospital within 24 hours.,,,H0523-070-000
Cardiac Rehab,N/A,$0,Yes,,,,H0523-070-000
Hearing Services,Audiology,$0,Yes,,,,H0523-070-000
Ambulance,Ground Ambulance,$0 copay,Yes,None specified,None specified,None specified,H0523-070-000
Chiropractic,None specified,$0 copay,Yes,None specified,None specified,None specified,H0523-070-000
Annual Routine Physical,None specified,$0 copay,Yes,None specified,None specified,None specified,H0523-070-000
Emergency Care,None specified,$0 copay,Yes,None specified,None specified,None specified,H0523-070-000
Cardiac Rehab,None specified,$0 copay,Yes,None specified,None specified,None specified,H0523-070-000
Hearing Services,Diagnostic Hearing and Balance Evaluations,$0 copay for each Medicare-covered Diagnostic hearing and balance evaluations performed by your hearing exam.,Yes,None specified,None specified,NationsHearing® network provider,H0523-070-000
Home health agency care,"Physical therapy, occupational therapy, and speech therapy","$0 copay for each Medicare-covered Physical therapy, occupational therapy, and speech therapy services.",Yes,None specified,None specified,NationsHearing® network provider,H0523-070-000
Home infusion therapy,"Intravenous or to primary care provider services, subcutaneous administration of drugs or biologicals to a person specialist physician services (including at home. The components needed to perform home infusion certified home infusion providers), or include the drug (for example, antivirals, immune globulin), home health services depending on equipment (for example, a pump), and supplies (for example, where you received administration or tubing and catheters). monitoring services. (See Physician/Practitioner services, Prior to receiving home infusion services, they must be ordered including doctor’s office visits or by a doctor and included in your care plan. Home health agency care for any applicable cost sharing.)",$0 copay for each Medicare-covered Home infusion therapy services.,Yes,None specified,None specified,NationsHearing® network provider,H0523-070-000
Hospice care,None specified,$0 copay for each Medicare-covered Hospice services.,Yes,None specified,None specified,NationsHearing® network provider,H0523-070-000
Ambulance,Ground Ambulance,No,Yes,None,None,None,H0523-070-000
Chiropractic,None,No,Yes,None,None,None,H0523-070-000
Annual Routine Physical,Physical Exam,No,Yes,None,None,None,H0523-070-000
Emergency Care,Emergency Services,No,Yes,None,None,None,H0523-070-000
Cardiac Rehab,Physical Therapy,No,Yes,None,None,None,H0523-070-000
Hearing Services,Auditory Therapy,No,Yes,None,None,None,H0523-070-000
Ambulance,Ground Ambulance,No,Yes,None specified,Prior authorization may be required and is the responsibility of your provider.,Provider network requirements not specified,H0523-070-000
Ambulance,Air Ambulance,No,Yes,None specified,Prior authorization may be required and is the responsibility of your provider.,Provider network requirements not specified,H0523-070-000
Chiropractic,Chiropractic Care,No,Yes,None specified,Prior authorization may be required and is the responsibility of your provider.,Provider network requirements not specified,H0523-070-000
Annual Routine Physical,Annual Physical Examination,No,Yes,None specified,Prior authorization may be required and is the responsibility of your provider.,Provider network requirements not specified,H0523-070-000
Emergency Care,Emergency Services,No,Yes,None specified,Prior authorization may be required and is the responsibility of your provider.,Provider network requirements not specified,H0523-070-000
Cardiac Rehab,Cardiovascular Rehabilitation,No,Yes,None specified,Prior authorization may be required and is the responsibility of your provider.,Provider network requirements not specified,H0523-070-000
Hearing Services,Hearing Aids,No,Yes,None specified,Prior authorization may be required and is the responsibility of your provider.,Provider network requirements not specified,H0523-070-000
Ambulance,Ground Ambulance,No,Yes,None specified,Prior authorization may be required and is the responsibility of your provider.,Provider network requirements not specified,H0523-070-000
Chiropractic,Chiropractic Care,No,Yes,None specified,Prior authorization may be required and is the responsibility of your provider.,Provider network requirements not specified,H0523-070-000
Annual Routine Physical,Physical Examination,No,Yes,None specified,Prior authorization may be required and is the responsibility of your provider.,Provider network requirements not specified,H0523-070-000
Emergency Care,Emergency Services,No,Yes,None specified,Prior authorization may be required and is the responsibility of your provider.,Provider network requirements not specified,H0523-070-000
Cardiac Rehab,Cardiovascular Rehabilitation,No,Yes,None specified,Prior authorization may be required and is the responsibility of your provider.,Provider network requirements not specified,H0523-070-000
Hearing Services,Hearing Tests,No,Yes,None specified,Prior authorization may be required and is the responsibility of your provider.,Provider network requirements not specified,H0523-070-000
Ambulance,Ground Ambulance,$40,Yes,,,,H0523-070-000
Chiropractic,N/A,$0,No,,,,H0523-070-000
Annual Routine Physical,Physical Examination,$0,Yes,,,,H0523-070-000
Emergency Care,Emergency Services,$0,No,,,,H0523-070-000
Cardiac Rehab,Physical Therapy,$0,Yes,,,,H0523-070-000
Hearing Services,Auditory Evaluation,$0,No,,,,H0523-070-000
Ambulance,Ground Ambulance,$0,Yes,None specified,None specified,None specified,H0523-070-000
Chiropractic,N/A,$0,Yes,None specified,None specified,None specified,H0523-070-000
Annual Routine Physical,Physical Exam,$0,Yes,None specified,None specified,None specified,H0523-070-000
Emergency Care,N/A,$0,Yes,None specified,None specified,None specified,H0523-070-000
Cardiac Rehab,N/A,$0,Yes,None specified,None specified,None specified,H0523-070-000
Hearing Services,N/A,$0,Yes,None specified,None specified,None specified,H0523-070-000
Ambulance,Ground Ambulance,Not applicable,Yes,None specified,No prior authorization required. Cost sharing is charged at the time of service.,Provider network requirements not specified,H0523-070-000
Chiropractic,Chiropractic services,Not applicable,Yes,None specified,No prior authorization required. Cost sharing is charged at the time of service.,Provider network requirements not specified,H0523-070-000
Annual Routine Physical,Annual physical examination,Not applicable,Yes,None specified,No prior authorization required. Cost sharing is charged at the time of service.,Provider network requirements not specified,H0523-070-000
Emergency Care,Emergency care services,Not applicable,Yes,None specified,No prior authorization required. Cost sharing is charged at the time of service.,Provider network requirements not specified,H0523-070-000
Cardiac Rehab,Cardiac rehabilitation services,Not applicable,Yes,None specified,No prior authorization required. Cost sharing is charged at the time of service.,Provider network requirements not specified,H0523-070-000
Hearing Services,Hearing services,Not applicable,Yes,None specified,No prior authorization required. Cost sharing is charged at the time of service.,Provider network requirements not specified,H0523-070-000
Ambulance,Ground Ambulance,$0,Yes,None,None,None,H0523-070-000
Chiropractic,N/A,$0,Yes,None,None,None,H0523-070-000
Annual Routine Physical,Physical Exam,$0,Yes,None,None,None,H0523-070-000
Emergency Care,Urgent Care,$0,Yes,None,None,None,H0523-070-000
Cardiac Rehab,N/A,$0,Yes,None,None,None,H0523-070-000
Hearing Services,N/A,$0,Yes,None,None,None,H0523-070-000
Ambulance,Ground Ambulance,No,Yes,None,None,None,H0523-070-000
Chiropractic,None,No,Yes,None,None,None,H0523-070-000
Annual Routine Physical,None,No,Yes,None,None,None,H0523-070-000
Emergency Care,None,No,Yes,None,None,None,H0523-070-000
Cardiac Rehab,None,No,Yes,None,None,None,H0523-070-000
Hearing Services,None,No,Yes,None,None,None,H0523-070-000
Ambulance,Ground Ambulance,50%,Yes,Once per year,Business rules/details,,H0523-070-000
Chiropractic,N/A,50%,Yes,Once per year,Business rules/details,,H0523-070-000
Annual Routine Physical,N/A,50%,Yes,Once per year,Business rules/details,,H0523-070-000
Emergency Care,N/A,50%,Yes,Once per year,Business rules/details,,H0523-070-000
Cardiac Rehab,N/A,50%,Yes,Once per year,Business rules/details,,H0523-070-000
Hearing Services,N/A,50%,Yes,Once per year,Business rules/details,,H0523-070-000
Ambulance,Ground Ambulance,Not applicable,Yes,None specified,No prior authorization required for ground ambulance services.,Available in all locations.,H0523-070-000
Chiropractic,Chiropractic Care,Not applicable,Yes,None specified,No prior authorization required for chiropractic services.,Available in all locations.,H0523-070-000
Annual Routine Physical,Physical Examination,Not applicable,Yes,None specified,No prior authorization required for annual routine physicals.,Available in all locations.,H0523-070-000
Emergency Care,Emergency Services,Not applicable,Yes,None specified,No prior authorization required for emergency care.,Available in all locations.,H0523-070-000
Cardiac Rehab,Cardiovascular Rehabilitation,Not applicable,Yes,None specified,No prior authorization required for cardiac rehabilitation.,Available in all locations.,H0523-070-000
Hearing Services,Hearing Tests,Not applicable,Yes,None specified,No prior authorization required for hearing tests.,Available in all locations.,H0523-070-000
Ambulance,Ground Ambulance,No,Yes,None specified,None specified,None specified,H0523-070-000
